transactionID,carrierID,customerID,amount,date
1,2,35,10.61,2009-07-24 22:30:45
2,1,677,10.57,2005-07-09 11:54:33
3,3,810,13.61,2005-02-12 08:51:07
4,2,481,18.97,2009-11-14 05:50:38
5,3,851,9.03,2005-04-06 02:48:11
6,3,211,11.63,2009-02-23 12:44:35
7,1,541,19.28,2007-04-26 11:43:18
8,2,110,13.44,2008-11-15 20:20:28
9,1,506,5.57,2006-01-19 11:50:47
10,3,749,6.24,2006-11-06 00:00:24
11,2,727,18.91,2006-01-19 12:59:13
12,2,597,7.51,2007-11-18 13:31:51
13,3,29,10.32,2005-07-17 04:57:29
14,2,258,10.71,2008-05-27 05:38:05
15,2,867,16.5,2005-03-20 07:38:46
16,1,133,6.79,2009-01-24 13:13:48
17,1,429,6.7,2005-11-20 10:05:30
18,2,25,19.24,2008-06-17 00:57:34
19,2,379,9.41,2005-02-09 15:54:49
20,1,799,19.53,2007-06-23 01:42:11
21,3,515,9.38,2008-10-04 11:02:15
22,1,309,17.93,2005-10-19 14:05:22
23,3,753,10.9,2006-03-10 02:42:56
24,1,219,12.51,2007-04-13 05:19:18
25,3,698,18.22,2006-03-21 23:39:54
26,3,205,16.16,2008-12-05 22:44:38
27,3,801,11.17,2005-01-02 12:18:17
28,2,30,9.02,2007-10-29 03:44:29
29,2,608,17.01,2009-10-25 03:12:12
30,3,761,10.13,2008-07-28 01:21:57
31,1,346,17.42,2009-01-28 19:13:15
32,2,872,6.35,2006-12-05 19:33:44
33,1,221,6.26,2008-08-19 01:52:52
34,1,87,12.83,2008-02-05 01:43:07
35,1,450,14.87,2009-04-06 01:48:12
36,3,988,18.58,2008-01-27 00:08:14
37,3,240,7.97,2006-04-27 22:15:44
38,2,360,14.55,2008-01-26 05:01:43
39,2,826,19.88,2008-02-23 02:14:39
40,2,988,11.67,2005-09-25 11:57:27
41,2,408,14.96,2007-06-18 16:17:57
42,3,440,12.89,2005-02-20 14:20:34
43,2,373,6.75,2008-03-20 15:07:55
44,3,208,11.5,2009-08-02 07:51:50
45,1,677,10.72,2007-02-12 00:17:46
46,2,398,19.12,2008-11-19 08:11:02
47,3,640,8.94,2005-03-08 12:48:06
48,1,715,13.09,2006-09-02 05:42:16
49,3,840,18.99,2005-02-04 11:02:05
50,3,321,8.8,2009-12-15 17:59:45
51,1,793,9.81,2005-07-13 14:52:09
52,2,663,15.48,2009-04-28 07:23:38
53,2,109,14.79,2008-03-07 11:12:19
54,1,728,8.37,2005-09-30 15:01:22
55,3,70,9.45,2006-08-13 10:47:36
56,1,974,9.43,2007-03-09 17:03:40
57,1,277,9.51,2005-07-05 07:45:56
58,3,420,17.84,2008-04-23 13:00:12
59,3,272,6.54,2009-06-22 02:42:27
60,1,303,18.32,2009-04-11 15:00:50
61,3,637,15.14,2008-05-22 05:26:06
62,2,11,5.29,2006-07-20 16:44:04
63,3,466,11.2,2009-09-02 22:58:59
64,1,91,19.05,2008-06-06 21:07:32
65,3,558,5.64,2006-02-20 10:42:05
66,1,77,15.14,2009-04-22 23:37:49
67,3,681,11.75,2009-10-11 12:05:48
68,1,665,5.52,2006-10-03 02:30:45
69,2,748,14.99,2005-03-05 18:26:55
70,2,7,9.68,2009-08-04 09:45:09
71,1,119,17.64,2009-03-14 23:45:27
72,3,18,7.99,2005-08-07 01:50:06
73,3,820,19.52,2007-02-13 19:45:30
74,2,96,13.48,2008-02-18 05:26:07
75,2,401,6.83,2009-10-21 17:32:59
76,2,7,19.17,2005-03-25 02:10:48
77,2,141,13.65,2009-01-31 10:23:58
78,3,808,17.28,2007-06-14 00:05:34
79,3,574,13.79,2005-01-23 22:24:10
80,3,897,13.82,2006-09-06 15:58:08
81,3,788,15.73,2007-11-11 23:35:34
82,2,249,6.86,2005-05-19 15:13:49
83,1,513,5.2,2009-07-13 11:37:38
84,3,697,14.48,2006-05-17 22:53:53
85,3,592,14.51,2007-07-20 08:31:56
86,3,838,11.93,2007-04-09 08:33:21
87,1,490,9.41,2005-05-05 03:40:59
88,2,464,19.13,2008-10-16 08:51:42
89,2,473,19.39,2006-08-07 03:40:36
90,1,780,14.92,2006-06-30 12:59:20
91,3,662,8.86,2005-07-08 01:20:31
92,1,527,12.46,2008-05-12 02:30:36
93,3,593,5.2,2005-05-06 01:32:01
94,2,799,5.01,2005-03-07 18:17:32
95,3,956,17.98,2005-04-06 15:30:14
96,2,807,5.95,2009-02-13 01:22:56
97,1,630,12.97,2006-05-26 14:23:49
98,1,309,8.35,2006-02-16 14:52:51
99,1,106,17.91,2005-11-08 12:51:50
100,3,542,14.68,2005-09-05 00:14:10
101,2,155,12.7,2009-01-20 03:49:05
102,1,755,8.06,2007-11-29 00:34:23
103,1,158,12.56,2006-08-02 14:47:31
104,2,709,18.64,2006-04-02 22:05:47
105,3,123,16.83,2008-06-19 02:30:14
106,3,381,13.78,2006-02-18 20:35:10
107,1,889,18.26,2007-10-30 19:07:25
108,3,703,17.66,2006-09-25 08:01:26
109,1,381,6.22,2006-09-20 09:58:04
110,3,611,9.27,2008-12-23 17:12:36
111,3,684,15.9,2005-08-25 12:54:21
112,2,732,5.48,2008-03-10 00:36:38
113,2,106,9.09,2005-03-29 11:04:01
114,1,725,12.61,2007-12-21 20:34:40
115,2,326,7.13,2008-04-13 21:44:25
116,3,84,15.77,2007-10-17 06:31:45
117,1,10,17.75,2007-12-17 21:16:59
118,2,648,6.61,2006-06-04 13:58:35
119,3,53,13.88,2008-05-28 12:46:54
120,3,608,5.87,2008-09-14 00:36:43
121,3,176,15.51,2009-06-06 23:20:05
122,2,812,10.64,2006-06-15 19:11:30
123,2,167,9.13,2006-08-23 20:48:34
124,1,253,7.46,2005-10-27 13:06:21
125,1,572,10.78,2008-12-09 09:48:19
